r g mean median sd
25 5 0.12672 0.04 0.155429082863536
25 6 0.10916 0 0.144624377649864
25 7 0.08976 0 0.132999365529431
25 8 0.09064 0 0.139859755294907
25 9 0.07716 0 0.133080595297905
25 10 0.07236 0 0.132758635332152
25 11 0.06992 0 0.132492822250671
25 12 0.06008 0 0.130381720317662
25 13 0.055 0 0.123870674269352
25 14 0.05168 0 0.122808222279534
25 15 0.04644 0 0.112391985294141
25 16 0.04168 0 0.106081246367258
25 17 0.03912 0 0.108302146585167
25 18 0.03776 0 0.103611378321677
25 19 0.0378 0 0.102485429516899
25 20 0.03628 0 0.101214653119032
25 21 0.03176 0 0.0947009539058117
26 0 0.257059 0.248 0.13208979230899
26 1 0.22604 0.24 0.157259813840183
26 2 0.19696 0.16 0.166043153212437
26 3 0.18012 0.16 0.17099363854958
26 4 0.1608 0.12 0.167910553432338
26 5 0.1306 0.04 0.155393008166349
26 6 0.09992 0 0.144837051100094
26 7 0.09188 0 0.142320485948864
26 8 0.075 0 0.124083829715224
26 9 0.0654 0 0.125101920410881
26 10 0.065 0 0.128889147768198
26 11 0.05528 0 0.11532485170778
26 12 0.05068 0 0.115862684941105
26 13 0.04824 0 0.114834181711237
26 14 0.04388 0 0.11427512592163
26 15 0.0386 0 0.104357704701333
26 16 0.036 0 0.103357064019266
26 17 0.03052 0 0.0925564492420506
26 18 0.02772 0 0.0845999926640585
26 19 0.02772 0 0.0909674484454559
26 20 0.02716 0 0.0899868436607932
26 21 0.02544 0 0.0873271574736773
27 0 0.252291 0.2445 0.130570490433221
27 1 0.21768 0.2 0.151583624429538
27 2 0.18928 0.16 0.162986030217458
27 3 0.17484 0.12 0.162480073160293
27 4 0.16752 0.12 0.169056291304493
27 5 0.13384 0.04 0.161931702505335
27 6 0.10392 0 0.147523546584255
27 7 0.09128 0 0.147274068495616
27 8 0.0788 0 0.141622798366001
27 9 0.06856 0 0.1283401636184
27 10 0.05748 0 0.118232095593491
27 11 0.04188 0 0.0999122016975307
27 12 0.04088 0 0.107887280368287
27 13 0.03876 0 0.106531738986142
27 14 0.03484 0 0.0979825238242768
27 15 0.0306 0 0.0922005474004409
27 16 0.02736 0 0.0877903043481314
27 17 0.02752 0 0.0922081989410484
27 18 0.02572 0 0.0883305376632786
27 19 0.02628 0 0.0909198989662221
27 20 0.02492 0 0.0867324398141556
27 21 0.02136 0 0.0784723410400652
28 0 0.259471 0.249 0.127803649916315
28 1 0.23104 0.24 0.150316710692835
28 2 0.16728 0.12 0.154722139787881
28 3 0.17044 0.16 0.163274201467546
28 4 0.13632 0.04 0.159043869899322
28 5 0.1134 0.04 0.147335493849065
28 6 0.10032 0 0.147249380236319
28 7 0.09372 0 0.149930119191044
28 8 0.08828 0 0.149023654664787
28 9 0.07568 0 0.136410943642897
28 10 0.06708 0 0.128903412249985
28 11 0.05704 0 0.118695100686283
28 12 0.05248 0 0.116558292006341
28 13 0.047 0 0.112130161745951
28 14 0.04152 0 0.107389115007165
28 15 0.0386 0 0.107129439075899
28 16 0.03712 0 0.103394371200738
28 17 0.03328 0 0.0976666799905699
28 18 0.02916 0 0.0873826649292074
28 19 0.02396 0 0.0780359404890337
28 20 0.0232 0 0.0818563403803301
28 21 0.02148 0 0.0805450004475579
29 0 0.248873 0.213 0.130185718080718
29 1 0.21896 0.2 0.144877561782037
29 2 0.18524 0.16 0.159442667954235
29 3 0.13916 0.08 0.154196858175097
29 4 0.11396 0.04 0.14746818390848
29 5 0.10356 0 0.145224021485484
29 6 0.09524 0 0.14092410014615
29 7 0.0862 0 0.141010084192032
29 8 0.0696 0 0.129669789289002
29 9 0.05932 0 0.115225059836888
29 10 0.04584 0 0.107031538109803
29 11 0.04508 0 0.11134536986957
29 12 0.0402 0 0.102305554230581
29 13 0.03564 0 0.0995776385847049
29 14 0.03084 0 0.0931405903436819
29 15 0.0314 0 0.0956367418223059
29 16 0.02912 0 0.0918022508071194
29 17 0.0286 0 0.0918524734390799
29 18 0.02848 0 0.0910053381487678
29 19 0.02872 0 0.09232814352128
29 20 0.02532 0 0.0838542135442765
29 21 0.02408 0 0.082149267203683
30 0 0.249541 0.245 0.127725745976233
30 1 0.2186 0.2 0.150460221581248
30 2 0.19324 0.16 0.165995954941851
30 3 0.1814 0.14 0.163822091543472
30 4 0.16036 0.12 0.167381860089698
30 5 0.13752 0.08 0.159107400094291
30 6 0.1256 0.04 0.15465755383737
30 7 0.111 0 0.150074389295184
30 8 0.10176 0 0.150349950141354
30 9 0.08352 0 0.137986411830476
30 10 0.07352 0 0.129875622336439
30 11 0.0724 0 0.133584747950074
