r gen percentile mean
11 2 90 0.3093334362028
11 2 95 0.459968931655892
11 3 50 0.058139819694727
11 3 90 0.36333148587949
11 3 95 0.561981140669937
11 4 50 0.0664723597910731
11 4 90 0.503513065052703
11 4 95 0.716741594743642
11 5 50 0.0767005888468232
11 5 90 0.469784586616561
11 5 95 0.748411308545284
11 6 50 0.0797520379897975
11 6 90 0.54345603541153
11 6 95 0.782247030747103
11 7 50 0.0656380414051131
11 7 90 0.66931319181101
11 7 95 0.924788816748672
11 8 50 0.0608561931276336
11 8 90 0.559166713340918
11 8 95 0.839712772772728
11 9 50 0.0750035400352049
11 9 90 0.761561114226738
11 9 95 0.922239463967405
11 10 50 0.052284825413419
11 10 90 0.63334790059944
11 10 95 0.897157813354174
11 11 50 0.0733496379642245
11 11 90 0.722220597519311
11 11 95 0.90122595439691
11 12 50 0.0748579343512883
11 12 90 0.656082488014947
11 12 95 0.815433880405383
11 13 50 0.0547537588098649
11 13 90 0.61210849796058
11 13 95 0.807262313174272
11 14 50 0.0708750072382038
11 14 90 0.698892735296341
11 14 95 0.77880952723637
11 15 50 0.163137459581295
11 15 90 0.663538393447891
11 15 95 0.767451229559106
11 16 50 0.050118990383915
11 16 90 0.546925807291796
11 16 95 0.678163695854983
11 17 50 NA
11 17 90 NA
11 17 95 NA
11 18 50 0.227664774155496
11 18 90 0.549986918379561
11 18 95 0.591453961204011
11 19 50 NA
11 19 90 NA
11 19 95 NA
11 20 50 0.093335818875992
11 20 90 0.357009032727382
11 20 95 0.461597804789449
11 21 50 0.204922639311871
11 21 90 0.538984943479646
11 21 95 0.58372934801714
12 0 50 0.026767874661897
12 0 90 0.128419168769194
12 0 95 0.195373110143297
12 1 50 0.04375332207146
12 1 90 0.247071186086625
12 1 95 0.373614230930277
12 2 50 0.0437661837389309
12 2 90 0.364552328589454
12 2 95 0.515294111395473
12 3 50 0.0516799222231481
12 3 90 0.493685171414253
12 3 95 0.754866346328768
12 4 50 0.0583492440419045
12 4 90 0.527914731399326
12 4 95 0.817244988771691
12 5 50 0.0496834015670219
12 5 90 0.494742115362671
12 5 95 0.782481337519834
12 6 50 0.063999027718068
12 6 90 0.624791493489802
12 6 95 0.865684779323781
12 7 50 0.0834580537836704
12 7 90 0.71557623902896
12 7 95 0.872841183574879
12 8 50 0.0626822913682266
12 8 90 0.624843635650801
12 8 95 0.805083192605837
12 9 50 0.0708016669731018
12 9 90 0.639229114980212
12 9 95 0.928484623015873
12 10 50 0.146443304432935
12 10 90 0.749349955762081
12 10 95 0.878868192014902
12 11 50 0.110610078760014
12 11 90 0.653483232452264
12 11 95 0.854310084541063
12 12 50 0.140953755839055
12 12 90 0.590225014936165
12 12 95 0.762565797102334
12 13 50 0.0960376390049618
12 13 90 0.565551287480191
12 13 95 0.666573724657122
12 14 50 0.0842316957684038
12 14 90 0.596251370070684
12 14 95 0.730962353481584
12 15 50 0.0576632605200969
12 15 90 0.488221929499917
12 15 95 0.650298734287578
12 16 50 0.208682755254287
12 16 90 0.722322789424988
12 16 95 0.802756453788756
12 17 50 0.182911206118776
12 17 90 0.69009588118497
12 17 95 0.787508682088582
12 18 50 0.111758081922179
12 18 90 0.563327669713539
12 18 95 0.668263429404734
12 19 50 0.29433425148749
12 19 90 0.582567170998487
12 19 95 0.650523892293898
12 20 50 0.125566666164056
12 20 90 0.479554384449475
12 20 95 0.589450292816955
12 21 50 0.312772209696951
12 21 90 0.694955353169362
12 21 95 0.753488107072666
13 0 50 0.0263515161602541
13 0 90 0.130453737926828
13 0 95 0.193030928129193
13 1 50 0.0408224320421681
13 1 90 0.235579395083949
13 1 95 0.335155908313795
13 2 50 0.047477614516071
13 2 90 0.294528170298709
13 2 95 0.432930340487326
13 3 50 0.0480373479225408
13 3 90 0.356406924260486
13 3 95 0.562661982945874
13 4 50 0.0604587305280955
13 4 90 0.423235803417425
13 4 95 0.642262175537413
13 5 50 0.0535192344308225
13 5 90 0.531843987517872
13 5 95 0.801496363469711
13 6 50 0.0574399375313656
13 6 90 0.495250633068286
13 6 95 0.777723782120918
13 7 50 0.0516000700548347
13 7 90 0.510076184751153
13 7 95 0.838963832815735
13 8 50 0.0772366010067322
13 8 90 0.62701234520488
13 8 95 0.876916960963013
13 9 50 0.0874295598872286
13 9 90 0.67651841533715
13 9 95 0.864490559936616
13 10 50 0.0948373643302301
13 10 90 0.631110451716977
13 10 95 0.873648881489354
13 11 50 0.1222623493946
13 11 90 0.835416666666667
13 11 95 0.952062074829932
13 12 50 0.0935725281729559
13 12 90 0.724806197092381
13 12 95 0.766845123164158
13 13 50 0.0913752674961914
13 13 90 0.807531988762025
13 13 95 0.933879164313947
13 14 50 0.220970493576161
13 14 90 0.862437240047534
13 14 95 0.951166258169934
13 15 50 0.175230894397512
13 15 90 0.591520936437816
13 15 95 0.661790560811501
13 16 50 0.101895629954677
13 16 90 0.532028976329692
13 16 95 0.598558972454182
13 17 50 0.209634128452063
13 17 90 0.685120026507803
13 17 95 0.764944098466934
13 18 50 NA
13 18 90 NA
13 18 95 NA
13 19 50 NA
13 19 90 NA
13 19 95 NA
13 20 50 NA
13 20 90 NA
13 20 95 NA
13 21 50 NA
13 21 90 NA
13 21 95 NA
14 0 50 0.0267313119160093
14 0 90 0.131829048671137
14 0 95 0.191799420501618
14 1 50 0.0389012505351346
14 1 90 0.237628882488817
14 1 95 0.360055600361617
14 2 50 0.0512106130793394
14 2 90 0.384519405516061
14 2 95 0.590568598736053
14 3 50 0.0580870782525314
14 3 90 0.454865331459029
14 3 95 0.702132270588984
14 4 50 0.0549671712045296
14 4 90 0.42338921107804
14 4 95 0.643903397345288
14 5 50 0.0622965642899138
14 5 90 0.388164539386705
14 5 95 0.640475115396801
14 6 50 0.0553612643987107
14 6 90 0.524288475419989
14 6 95 0.705157635512194
14 7 50 0.0558911161589733
14 7 90 0.419548911463157
14 7 95 0.664222912998056
14 8 50 0.0511845815428311
14 8 90 0.436670549081595
14 8 95 0.700979455537395
14 9 50 0.055899109481291
14 9 90 0.488888770004172
14 9 95 0.715701929541906
14 10 50 0.0672075770313041
14 10 90 0.581560026555507
14 10 95 0.790899326237672
14 11 50 0.0599679041106849
14 11 90 0.552046750466174
14 11 95 0.765172487786087
14 12 50 0.0702499746648191
14 12 90 0.648375906542348
14 12 95 0.874396269816666
14 13 50 0.0477962761698578
14 13 90 0.588202996469587
14 13 95 0.825535718413293
14 14 50 0.0830944537906305
14 14 90 0.817801556273397
14 14 95 0.928462997625085
14 15 50 0.158392420203187
14 15 90 0.665486150279851
14 15 95 0.841488568630745
14 16 50 0.142887569711766
14 16 90 0.562187786548032
14 16 95 0.676865292443732
14 17 50 0.0905191584360635
14 17 90 0.6587225712997
14 17 95 0.778523141260913
14 18 50 0.157658139844189
14 18 90 0.49346454476435
14 18 95 0.597937752016994
14 19 50 NA
14 19 90 NA
14 19 95 NA
14 20 50 0.37573747170046
14 20 90 0.496410508595097
14 20 95 0.524967629905033
14 21 50 0.0931195526552815
14 21 90 0.439822533974148
14 21 95 0.496180379863044
15 0 50 0.0290031743176133
15 0 90 0.136838131966364
15 0 95 0.201367862322003
15 1 50 0.0433757452403011
15 1 90 0.256877815889996
15 1 95 0.386139284215358
15 2 50 0.0469049869122641
15 2 90 0.29317978706145
15 2 95 0.419744717511348
15 3 50 0.0552571025254092
15 3 90 0.324021155626709
15 3 95 0.516022449259089
15 4 50 0.057027085270334
15 4 90 0.455375494391075
15 4 95 0.650396146915423
15 5 50 0.0726373833248377
15 5 90 0.57029920904892
15 5 95 0.80889134888729
15 6 50 0.0560898325510964
15 6 90 0.56093021070143
15 6 95 0.769379128246195
15 7 50 0.063717919674447
15 7 90 0.441521506568027
15 7 95 0.707511839234089
15 8 50 0.0565660215074972
15 8 90 0.484342608691145
15 8 95 0.799367957269419
15 9 50 0.0725882269032424
15 9 90 0.639307476687845
15 9 95 0.861240433596761
15 10 50 0.122368670879424
15 10 90 0.539453123031763
15 10 95 0.726672113334081
